,continent,country,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
36,Africa,Cameroon,,0.012524627,,,,,,,,,,0.6,1,1.6,2.5,3.4,4.2,4.8,5.1,5.3,5.4,5.5,5.5,5.5,5.5,5.4,5.4,5.4,5.4,5.3,4.8,4.7,4.6
37,North America,Canada,0.012998487,,,,,,,,,,,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3
38,Africa,Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
39,North America,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Africa,Central African Republic,0.113034777,,,,,,,,,,,3.1,4.6,6.3,7.9,9,9.7,10.1,10.1,10,9.8,9.4,8.9,8.4,7.8,7.2,6.6,6.1,5.5,5.1,5.1,4.9,4.6
41,Africa,Chad,0.039876698,,,,,,,,,,,1.1,1.3,1.5,1.7,1.9,2.1,2.3,2.5,2.7,2.9,3,3.2,3.3,3.4,3.4,3.5,3.5,3.5,3.4,3.2,3.2,3.1
42,Rest of the world,Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,South America,Chile,,,,,,,0.009688619,,,,,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5
44,Asia,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06
45,Asia,Christmas Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Rest of the world,Cocos Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,South America,Colombia,,,,,,0.012153094,,,,,,0.2,0.3,0.4,0.5,0.6,0.6,0.7,0.8,0.8,0.9,0.9,0.8,0.8,0.8,0.7,0.7,0.6,0.6,0.5,0.5,0.5,0.5
48,Africa,Comoros,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1
49,Rest of the world,"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Rest of the world,"Congo, Rep.",0.01,,,,,,,,,,,5.2,5.2,5,4.8,4.6,4.4,4.3,4.1,4,3.9,3.9,3.8,3.8,3.7,3.7,3.6,3.6,3.5,3.5,3.3,3.3,3.3
51,Rest of the world,Cook Is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,North America,Costa Rica,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
53,Rest of the world,Cote d'Ivoire,0.123178372,,,,,,,,,,,2.4,3.3,4.4,5.5,6.4,7.1,7.4,7.5,7.4,7.2,6.9,6.5,6.1,5.7,5.3,4.8,4.4,4.1,3.7,3.4,3.2,3
54,Europe,Croatia,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
55,North America,Cuba,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2
56,Asia,Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Europe,Czech Republic,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
58,Rest of the world,Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Europe,Denmark,,,,0.011698226,,,,,,,,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2
60,Africa,Djibouti,,,,,0.012392677,,,,,,,0.9,1.1,1.4,1.7,2,2.3,2.5,2.7,2.8,2.9,2.9,2.9,2.9,2.8,2.7,2.7,2.6,2.6,2.6,1.6,1.5,1.4
61,North America,Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,North America,Dominican Republic,0.056691281,,,,,,,,,,,0.4,0.5,0.6,0.7,0.8,0.9,0.9,1,1,1,1,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.9,0.8,0.7,0.7
63,Rest of the world,East Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,South America,Ecuador,0.013690696,,,,,,,,,,,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
65,Africa,Egypt,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
66,North America,El Salvador,,,,,,,0.012269586,,,,,0.1,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.6,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.6,0.6,0.6
67,Africa,Equatorial Guinea,0.082364934,,,,,,,,,,,0.1,0.2,0.2,0.3,0.3,0.4,0.6,0.7,0.9,1.2,1.5,1.9,2.3,2.7,3.2,3.6,4,4.4,4.7,4.2,4.4,4.7
68,Africa,Eritrea,,,,,,,0.010873503,,,,,0.3,0.4,0.6,0.8,0.9,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1,1,0.9,0.9,0.8,0.7,0.7,0.6
69,Rest of the world,Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Europe,Estonia,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.9,1,1.1,1.1,1.2,1.2,1.2,1.3,1.3
71,Africa,Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,1.6,1.4
72,Rest of the world,Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Rest of the world,Falkland Is (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Australia/Oceania,Fiji,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.06,0.06,0.1
75,Europe,Finland,,,,,0.010557622,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
76,Europe,France,,,0.015708255,,,,,,,,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
77,South America,French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Australia/Oceania,French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Africa,Gabon,0.042124436,,,,,,,,,,,0.9,1.2,1.6,2,2.6,3.1,3.7,4.2,4.6,4.9,5.2,5.3,5.4,5.4,5.4,5.4,5.4,5.3,5.3,5.2,5.1,5
80,Africa,Gambia,,,,,,,,,,,,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.8,1,1.1,1.3,1.5,1.7,1.4,1.4,1.5
81,Asia,Georgia,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2
82,Europe,Germany,,,,0.022875823,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
83,Africa,Ghana,,,,,,,,,,,,0.3,0.4,0.7,0.9,1.3,1.7,2,2.2,2.3,2.3,2.3,2.3,2.2,2.1,2.1,2,1.9,1.9,1.8,1.6,1.5,1.5
84,Europe,Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Europe,Greece,0.018909064,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2
86,North America,Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,North America,Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,North America,Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Australia/Oceania,Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,North America,Guatemala,,,,,,,,,,,,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.8,0.7,0.7,0.8
91,Europe,Guernsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Africa,Guinea,0.015019429,,,,,,,,,,,1.1,1.3,1.5,1.7,1.8,1.8,1.8,1.8,1.8,1.8,1.7,1.7,1.6,1.6,1.5,1.5,1.4,1.4,1.4,1.4,1.4,1.4
93,Africa,Guinea-Bissau,,,0.009823591,,,,,,,,,0.3,0.3,0.4,0.6,0.7,0.9,1,1.2,1.4,1.6,1.8,2,2.1,2.3,2.3,2.4,2.4,2.5,2.5,2.3,2.4,2.5
94,South America,Guyana,0.030135016,,,,,,,,,,,2.8,2.7,2.6,2.5,2.3,2.2,2.1,1.9,1.8,1.6,1.5,1.4,1.3,1.3,1.2,1.1,1.1,1,1.2,1.2,1.1,1.1
95,North America,Haiti,0.155026457,,,,,,,,,,,1.3,1.6,2.3,3.3,3.6,3.6,3.4,3.3,3.1,2.9,2.8,2.6,2.5,2.3,2.2,2.1,2.1,2,2,1.9,1.9,1.8
96,Rest of the world,Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,North America,Honduras,0.01,,,,,,,,,,,1.1,1.2,1.4,1.4,1.5,1.5,1.5,1.4,1.4,1.3,1.3,1.2,1.1,1.1,1,0.9,0.9,0.8,0.8,,,
98,Rest of the world,"Hong Kong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Europe,Hungary,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1
100,Europe,Iceland,0.012373161,,,,,,,,,,,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3
101,Asia,India,,,,,,,,,,,,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.39,0.37,0.37,0.34,0.32,0.31,,
102,Asia,Indonesia,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3
103,Asia,Iran,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
104,Asia,Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Europe,Ireland,,,,0.015104416,,,,,,,,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3
106,Europe,Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Asia,Israel,0.012167647,,,,,,,,,,,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
108,Europe,Italy,0.01,,,,,,,,,,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4
109,North America,Jamaica,0.014488867,,,,,,,,,,,2.1,2.2,2.2,2.2,2.2,2.2,2.1,2.1,2,2,1.9,1.9,1.9,1.8,1.8,1.8,1.7,1.7,1.7,1.8,1.8,1.8
110,Asia,Japan,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
111,Europe,Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Asia,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Asia,Kazakhstan,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2
114,Africa,Kenya,0.07,,,,,,,,,,,3.9,5.4,7,8.4,9.6,10.3,10.5,10.5,10.1,9.6,9,8.4,7.9,7.5,7.1,6.8,6.6,6.4,6.3,6.2,6.2,6.2
115,Australia/Oceania,Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Asia,North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Asia,South Korea,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
118,Rest of the world,"United Korea (former)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Rest of the world,Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Asia,Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Asia,Kyrgyz Republic,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.4
122,Rest of the world,Lao,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3
123,Europe,Latvia,,,,,,,,,,,,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7
124,Asia,Lebanon,0.012167647,,,,,,,,,,,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1
125,Africa,Lesotho,,,,,,0.011079346,,,,,,0.8,1.7,3.3,5.9,9.8,14.3,18.5,21.6,23.4,24.2,24.5,24.5,24.3,24.1,23.8,23.6,23.5,23.5,23.6,23,23.2,23.3
126,Africa,Liberia,0.01185026,,,,,,,,,,,0.3,0.5,1,1.7,2.5,3.1,3.4,3.6,3.5,3.4,3.3,3.1,2.8,2.6,2.4,2.2,2,1.8,1.6,1.3,1.1,1
127,Africa,Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Europe,Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Europe,Lithuania,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1
130,Europe,Luxembourg,0.013690696,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
131,Rest of the world,"Macao, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Rest of the world,"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Africa,Madagascar,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3
134,Africa,Malawi,,0.015321148,,,,,,,,,,7.2,8.8,10.5,11.9,13.1,13.9,14.5,14.7,14.7,14.5,14.2,13.8,13.4,13,12.5,12.1,11.8,11.4,11.2,10.9,10.4,10
135,Asia,Malaysia,,,,,,,,,0.010175238,,,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.4,0.4,0.4
136,Asia,Maldives,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
137,Africa,Mali,,,,0.012575162,,,,,,,,0.4,0.6,1,1.4,1.7,1.8,1.9,1.9,1.8,1.8,1.7,1.6,1.5,1.4,1.3,1.2,1.1,1.1,1,1.2,1.1,1.1
138,Europe,Malta,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
139,Australia/Oceania,Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,North America,Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Africa,Mauritania,,,,,,,,,,,,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,1,1.1,1.1
142,Africa,Mauritius,,,,,,,,,,,,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.7,0.8,0.9,1,1,1
143,Africa,Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,North America,Mexico,0.03122474,,,,,,,,,,,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2
145,Rest of the world,"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Europe,Moldova,,,,,,,,,,,,0.06,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5
147,Europe,Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Asia,Mongolia,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
149,Europe,Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,North America,Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Africa,Morocco,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2
152,Africa,Mozambique,0.075681075,,,,,,,,,,,1.2,1.6,2.1,2.7,3.4,4.1,4.9,5.8,6.7,7.7,8.6,9.4,10.1,10.6,11,11.2,11.3,11.4,11.4,11.3,11.3,11.3
153,Asia,Myanmar,,,,,,,0.01,,,,,0.2,0.3,0.4,0.4,0.5,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.7,0.7,0.6
154,Africa,Namibia,0.016749108,,,,,,,,,,,1.6,2.2,3,4.1,5.5,7.1,8.9,10.7,12.5,14.1,15.3,16.1,16.5,16.5,16.2,15.7,15,14.3,13.7,13.7,13.6,13.4
155,Australia/Oceania,Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Asia,Nepal,,,,,,,0.01,,,,,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.3,0.3
157,Europe,Netherlands,,,,0.010807512,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
